index,Release date[a],Title,Director(s),Synopsis,Notes,Ref.
0,"March 6, 2020",First Cow,Kelly Reichardt,"In the 1820s Northwest, two travelers learn their plan of striking it rich will rely on the use of a landowner's prized dairy cow.",,[219][220]
1,"August 14, 2020",Boys State,Jesse Moss and Amanda McBaine,A thousand teenage boys attending Boys State in Texas decide to build their own state government.,Co-distributed with Apple TV+,[221][222]
2,"October 2, 2020",On the Rocks,Sofia Coppola,A father and daughter harbor suspicions about her husband's fidelity.,Co-distributed with Apple TV+,[223][224]
3,"January 29, 2021",Saint Maud,Rose Glass,"Hospice nurse Maud, a recent convert to Roman Catholicism, becomes obsessed with saving the soul of one of her patients.",,[225][226]
4,"February 12, 2021",Minari,Lee Isaac Chung,A family of South Korean immigrants tries to make it in the U.S. during the 1980s.,,[227][228]
5,"June 25, 2021",False Positive,John Lee,A woman begins to suspect there is something sinister about her pregnancy.,Produced by A24; distributed by Hulu,[229][230]
6,"June 30, 2021",Zola,Janicza Bravo,"Zola is a part-time stripper who is convinced by her new friend to travel to Tampa, Florida, to earn money.",,[231][232]
7,"July 23, 2021",Val,Leo Scott and Ting Poo,A documentary which follows the life and career of American actor Val Kilmer.,Produced by A24; distributed by Amazon Studios,[233][234]
8,"July 30, 2021",The Green Knight,David Lowery,"Gawain, a nephew of King Arthur, sets out on a journey to test his courage and face the Green Knight.",Also produced by A24,[235][236]
9,"October 8, 2021",Lamb,Valdimar Jóhannsson,A childless couple in rural Iceland finds themselves parenting an endearing but unsettlingly humanoid lamb.,,[237][238]
10,"October 29, 2021",The Souvenir Part II,Joanna Hogg,A film student deals with the aftermath of her relationship to an older man.,,[239][240]
11,"November 19, 2021",C'mon C'mon,Mike Mills,A radio journalist and his young nephew forge an unexpected bond over a cross-country trip.,,[240][241]
12,"November 24, 2021",The Humans,Stephen Karam,"In Lower Manhattan, the Blake family gathers for a Thanksgiving dinner.",Also produced by A24; co-distributed with Showtime,[242][243]
13,"December 10, 2021",Red Rocket,Sean Baker,"A washed-up porn star returns to his small Texas hometown, even though no one there really wants him back.",,[244][245]
14,"December 25, 2021",The Tragedy of Macbeth,Joel Coen,"After a supernatural prophecy, Macbeth sets out to become the King of Scotland.",Also produced by A24; co-distributed with Apple TV+,[246][247]
15,"February 11, 2022",The Sky Is Everywhere,Josephine Decker,A young musician tries to keep things together after the death of her older sister.,Co-distributed with Apple TV+,[248][249]
16,"March 4, 2022",After Yang,Kogonada,"A family attempts to save the life of their robotic family member, Yang, who has become unresponsive.",Also produced by A24; co-distributed with Showtime,[250][251]
17,"March 18, 2022",X,Ti West,A production team filming a porno finds themselves in danger while staying in a secluded farmhouse in Texas.,Also produced by A24,[252][253]
18,"March 25, 2022",Everything Everywhere All at Once,Dan Kwan and Daniel Scheinert,Middle-aged laundromat owner Evelyn Wang discovers a multiverse filled with thousands of versions of herself.,Also produced by A24,[254][255]
19,"May 20, 2022",Men,Alex Garland,A young woman goes on a solo vacation in the English countryside after the death of her ex-husband.,Also produced by A24,[256][257]
20,"May 27, 2022",Elizabeth: A Portrait in Parts,Roger Michell,A documentary about Queen Elizabeth II.,Distributed by Showtime,[258][259]
21,"June 24, 2022",Marcel the Shell with Shoes On,Dean Fleischer Camp,"A documentary director helps Marcel, a one-inch-tall shell, search for his family.",,[260][261]
22,"August 5, 2022",Bodies Bodies Bodies,Halina Reijn,"A murder transpires during a party between young, rich, and backstabbing friends.",Also produced by A24,[261][262]
23,"August 26, 2022",Funny Pages,Owen Kline,The coming-of-age story of a teenage cartoonist.,Also produced by A24,[263][264]
24,"September 16, 2022",Pearl,Ti West,"A prequel to X, it follows the origins of Pearl and how she became the person she was.",Also produced by A24,[265][266]
25,"September 22, 2022",Instinct,Halina Reijn,"A prison therapist becomes obsessed with her charismatic patient, a violent serial rapist on the verge of being paroled.",,[267]
26,"September 30, 2022",God's Creatures,Saela Davis and Anna Rose Holmer,"In a windswept fishing village, a mother lies to protect her son from a serious allegation.",Also produced by A24,[268][269]
27,"October 14, 2022",Stars at Noon,Claire Denis,A young American journalist stranded in present-day Nicaragua falls for an enigmatic Englishman who seems like her best chance of escape.,,[270][271]
28,"October 21, 2022",Aftersun,Charlotte Wells,A woman reminisces about embarking on a summer vacation to Turkey with her father during her childhood.,,[272][273]
29,"October 28, 2022",Causeway,Lila Neugebauer,A US soldier suffers a traumatic brain injury and struggles to adjust to life back home.,Produced by A24; co-distributed with Apple TV+,[274][275]
30,"November 18, 2022",The Inspection,Elegance Bratton,"At boot camp, Ellis French's sexual orientation makes him the target of near-lethal hazing from a training instructor and a fellow recruit.",Also produced by A24,[276][277]
31,"November 25, 2022",White Noise,Noah Baumbach,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world.",Produced by A24; distributed by Netflix,[278][279]
32,"December 2, 2022",The Eternal Daughter,Joanna Hogg,"An artist and her elderly mother confront long-buried secrets when they returned to a former family home, now a hotel haunted by its mysterious past.",,[280][281]
33,"December 9, 2022",The Whale,Darren Aronofsky,A 600-pound (272 kg) middle-aged man tries to reconnect with his 17-year-old daughter.,Also produced by A24,[282][283]
34,"December 30, 2022",This Place Rules,Andrew Callaghan,A documentary about the events leading to the January 6th US Capitol riot.,Produced by A24; distributed by HBO,[284][285]
35,"January 20, 2023",When You Finish Saving the World,Jesse Eisenberg,A high school student pursues music while living with his formal and uptight mother who runs a shelter for survivors of domestic abuse.,Also produced by A24,[286][287]
36,"January 27, 2023",Close,Lukas Dhont,A teenager tries to distance himself from his best friend after their close relationship is commented on.,,[288][289]
37,"February 10, 2023",Sharper,Benjamin Caron,A con artist takes on Manhattan's billionaires.,Also produced by A24; co-distributed with Apple TV+,[290][291]
38,"March 14, 2023",Pi,Darren Aronofsky,A mathematician discovers a string of numbers connected to religion while trying to predict stock market patterns.,25th anniversary re-release; originally distributed by Artisan Entertainment,[292]
39,"April 7, 2023",Showing Up,Kelly Reichardt,An artist on the verge of a career-changing exhibition finds inspiration in the chaos of life.,Also produced by A24,[293][294]
40,"April 14, 2023",Beau Is Afraid,Ari Aster,A mild-mannered but paranoid man realizes his greatest fears as embarks on a surrealistic odyssey to get home to his mother's funeral.,Also produced by A24,[295][296]
41,"May 26, 2023",You Hurt My Feelings,Nicole Holofcener,A novelist whose long-standing marriage is suddenly upended when she overhears her husband give his honest reaction to her latest book.,,[297][298]
42,"June 2, 2023",Past Lives,Celine Song,"Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. Two decades later, they are reunited for one fateful week as they confront notions of love and destiny.",Also produced by A24,[298][299]
43,"July 7, 2023",Earth Mama,Savanah Leaf,"Gia, a single mother, tries to navigate life during her latest pregnancy.",Also produced by A24,[300][301]
44,"July 19, 2023",The Deepest Breath,Laura McGann,A documentary about Alessia Zecchini and her quest to break the diving record.,Produced by A24; distributed by Netflix,[302][303]
45,"July 21, 2023",Stephen Curry: Underrated,Peter Nicks,A documentary on the career of basketball star Stephen Curry from his 2008 NCAA Tournament run with Davidson to the 2021 Golden State Warriors run at another NBA Championship.,Produced by A24; distributed by Apple TV+,[304][305]
46,"July 28, 2023",Talk to Me,Danny and Michael Philippou,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",,[298][306]
47,"August 11, 2023",Medusa Deluxe,Thomas Hardiman,A murder mystery set in a competitive hairdressing contest.,,[307]
48,"September 22, 2023",Stop Making Sense,Jonathan Demme,"A re-release of Jonathan Demme’s seminal Talking Heads documentary Stop Making Sense for its 40th anniversary, newly restored in 4K.",Re-release; originally distributed by Cinecom Pictures and Island Alive,[308]
49,"October 6, 2023",Dicks: The Musical,Larry Charles,Two business adversaries who realize they're identical twin brothers decide to switch places to reunite their divorced parents so they all can become an actual family again.,Also produced by A24,[309]
50,"October 27, 2023",Priscilla,Sofia Coppola,The film follows Priscilla Presley and her complicated romantic relationship with Elvis Presley.,,[310][311]
51,"November 3, 2023",All Dirt Roads Taste of Salt,Raven Jackson,"The film charts the growth, loves, and heartbreaks of a Black woman in Mississippi, from her childhood through her adult years.",Also produced by A24,[312][313]
52,"November 10, 2023",Dream Scenario,Kristoffer Borgli,A schlubby professor becomes an overnight celebrity after appearing in everyone's dream.,Also produced by A24,[314]
53,"December 15, 2023",The Zone of Interest,Jonathan Glazer,"The commandant of the Auschwitz concentration camp, Rudolf Höss, and his wife Hedwig strive to build a dream life for their family in a house and garden next to the camp.",Also produced by A24,[315]
54,"December 22, 2023",The Iron Claw,Sean Durkin,"The Von Erich family is a dynasty of wrestlers from the 1960s onwards that had enormous success and popularized the iron claw professional wrestling hold. However, they not only had to battle inside the ring, but fight the ""Von Erich curse"" outside of it.",Also produced by A24,[316]
55,"December 25, 2023",Occupied City,Steve McQueen,A documentary set in present-day Amsterdam that traces where the occupying German Nazi forces committed atrocities against the local Jewish population back in World War II.,Also produced by A24,[317][318]
56,"January 12, 2024",My Mercury,"Joelle Chesselet, Philippa Ehrlich","A passionate conservationist makes a cruel pact to save endangered seabirds from extinction on an inhospitable island, alone. In the end, it's a victory for the birds, but at what price?",Produced by A24; distributed by Amazon Prime Video,[319]
57,"January 23, 2024",Open Wide,Sara Goldblatt,John Mew thinks we're all ugly. And modern living is to blame. For decades he's waged a lonely war against orthodontics and that teenage rite of passage - braces.,Produced by A24; distributed by Netflix,[320]
58,"February 14, 2024",Jerry Lee Lewis: Trouble in Mind,Ethan Coen,The life and music of legendary early rock and roll pioneer Jerry Lee Lewis from his rise to the top of the billboard charts through his tumultuous fall from grace.,"Produced by A24, distributed by Amazon Prime Video",[321][322] [323]
59,"March 1, 2024",Problemista,Julio Torres,"A struggling aspiring toy designer from El Salvador starts working for an erratic art-world outcast in New York City, hoping to stay in the country and realize his dream before his work visa expires.",Also produced by A24,[324][325]
60,"March 8, 2024",Love Lies Bleeding,Rose Glass,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",Also produced by A24,[326][327]
61,"March 29, 2024",STEVE! (martin) a documentary in 2 pieces,Morgan Neville,A 2-part documentary film about the life and career of Steve Martin.,Produced by A24; distributed by Apple TV+,[328][329]
